"""relig"",""polviews"",""year"",""At_NonAt"",""Wing"""
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Extrmly Conservative,1974,Religious,Other
Protestant,Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Liberal,1974,Religious,Left
Protestant,Liberal,1974,Religious,Left
None,Moderate,1974,Non_religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Extrmly Conservative,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
None,Liberal,1974,Non_religious,Left
Protestant,Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Catholic,Slightly Liberal,1974,Religious,Left
Catholic,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Liberal,1974,Religious,Left
Catholic,Moderate,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Catholic,Extrmly Conservative,1974,Religious,Other
Protestant,Extrmly Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Slightly Liberal,1974,Religious,Left
Protestant,Moderate,1974,Religious,Other
Protestant,Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Liberal,1974,Religious,Left
Catholic,Moderate,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
Protestant,Extrmly Conservative,1974,Religious,Other
Protestant,Moderate,1974,Religious,Other
Protestant,Slightly Conservative,1974,Religious,Other
