"","relig","polviews","year","At_NonAt","Wing"
"1","Protestant","Moderate",1974,"Religious","Other"
"2","Protestant","Slightly Conservative",1974,"Religious","Other"
"3","Protestant","Conservative",1974,"Religious","Other"
"4","Protestant","Conservative",1974,"Religious","Other"
"5","Protestant","Conservative",1974,"Religious","Other"
"6","Protestant","Slightly Conservative",1974,"Religious","Other"
"7","Protestant","Slightly Conservative",1974,"Religious","Other"
"8","Protestant","Slightly Conservative",1974,"Religious","Other"
"9","Protestant","Conservative",1974,"Religious","Other"
"10","Protestant","Moderate",1974,"Religious","Other"
"11","Protestant","Liberal",1974,"Religious","Liberal"
"12","Protestant","Moderate",1974,"Religious","Other"
"13","Protestant","Moderate",1974,"Religious","Other"
"14","Protestant","Conservative",1974,"Religious","Other"
"15","Protestant","Moderate",1974,"Religious","Other"
"16","Protestant","Moderate",1974,"Religious","Other"
"17","Protestant","Extrmly Conservative",1974,"Religious","Other"
"18","Protestant","Liberal",1974,"Religious","Liberal"
"19","Protestant","Moderate",1974,"Religious","Other"
"20","Protestant","Conservative",1974,"Religious","Other"
"21","Protestant","Conservative",1974,"Religious","Other"
"22","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"23","Protestant","Liberal",1974,"Religious","Liberal"
"24","Protestant","Liberal",1974,"Religious","Liberal"
"25","None","Moderate",1974,"Non_religious","Other"
"26","Protestant","Moderate",1974,"Religious","Other"
"27","Protestant","Extrmly Conservative",1974,"Religious","Other"
"28","Protestant","Slightly Conservative",1974,"Religious","Other"
"29","Protestant","Moderate",1974,"Religious","Other"
"30","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"31","Protestant","Moderate",1974,"Religious","Other"
"32","Protestant","Moderate",1974,"Religious","Other"
"33","Protestant","Slightly Conservative",1974,"Religious","Other"
"34","Protestant","Moderate",1974,"Religious","Other"
"35","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"36","Protestant","Moderate",1974,"Religious","Other"
"37","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"38","Protestant","Slightly Conservative",1974,"Religious","Other"
"39","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"40","Protestant","Moderate",1974,"Religious","Other"
"41","Protestant","Moderate",1974,"Religious","Other"
"42","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"43","None","Liberal",1974,"Non_religious","Liberal"
"44","Protestant","Liberal",1974,"Religious","Liberal"
"45","Protestant","Moderate",1974,"Religious","Other"
"46","Catholic","Slightly Liberal",1974,"Religious","Liberal"
